r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,r2_cross_r_to_s_task_scaled,r2_cross_s_to_r_task_scaled,direct_transfer_score,direct_transfer_score_raw,direct_transfer_score_clipped,r2_pca_direct,r2_aligned_transfer,alignment_gain,rsa_correlation,geometry_pattern,is_held_out,layer,relative_depth,target
-1.7752947304513227,-1.5330501647979307,-2.5069558672137298,-1.760374592162255,-1.9905555336200482,-1.7199815590107663,-2.1336652296879923,-2.1336652296879923,0.0,0.060588409414208066,0.06091024359315833,0.00032183417895026434,0.9725929367306353,Operational: Task-Divergent Geometry,True,0,0.0,Valence_human
-1.9747366806625033,-1.958671345457474,-2.7519410023893203,-2.4119088476299075,-2.096874144936919,-2.2096062527359774,-2.5819249250096137,-2.5819249250096137,0.0,0.05096269218973837,0.05871934830713921,0.00775665611740084,0.9725929367306353,Operational: Task-Divergent Geometry,True,0,0.0,Arousal_human
-1.4362627665492065,-1.3992775212125252,-2.6496891849976847,-3.51664302824324,-1.7943167083003289,-1.7441605616912974,-3.083166106620462,-3.083166106620462,0.0,0.07957537087612754,0.09132688634692465,0.011751515470797114,0.9879164835465903,Operational: Task-Divergent Geometry,True,1,0.037037037037037035,Valence_human
-1.9121175112759232,-1.6285548486657335,-2.809412029419076,-3.9723586257996084,-2.2004086112584895,-2.122291352489924,-3.3908853276093422,-3.3908853276093422,0.0,0.03936265840475606,0.04028823156625927,0.0009255731615032126,0.9879164835465903,Operational: Task-Divergent Geometry,True,1,0.037037037037037035,Arousal_human
-1.2658367707279798,-1.5180140371517834,-2.5802994923138605,-2.2370788057246855,-1.5379800410898685,-1.7123667728844403,-2.4086891490192732,-2.4086891490192732,0.0,0.0587888397807238,0.07355484917290167,0.01476600939217787,0.9832916894098809,Operational: Task-Divergent Geometry,True,2,0.07407407407407407,Valence_human
-1.7996410686370359,-1.7240893008418827,-2.677476013430418,-2.417421284719551,-2.0431729867983934,-2.061495415641264,-2.5474486490749846,-2.5474486490749846,0.0,0.00852412403772329,0.010671506364361316,0.0021473823266380254,0.9832916894098809,Operational: Task-Divergent Geometry,True,2,0.07407407407407407,Arousal_human
-1.5579055348558626,-1.5773662298280136,-2.9748023261769165,-2.320269821046837,-1.759176463017193,-1.825339860899283,-2.6475360736118767,-2.6475360736118767,0.0,0.07658223510919426,0.08914952257426101,0.012567287465066745,0.9807641654611178,Operational: Task-Divergent Geometry,True,3,0.1111111111111111,Valence_human
-1.9133994407704913,-1.70544463242976,-3.213705529669946,-3.397447738036714,-2.0651486804442176,-2.14813713424705,-3.30557663385333,-3.30557663385333,0.0,0.01983837874454164,0.023945982318105408,0.004107603573563767,0.9807641654611178,Operational: Task-Divergent Geometry,True,3,0.1111111111111111,Arousal_human
-1.748951473673209,-1.4854643556831104,-2.9591432843346346,-2.074079836129783,-2.1000739910121116,-1.9600659722941334,-2.5166115602322088,-2.5166115602322088,0.0,0.054114369562976994,0.08421215387859282,0.030097784315615828,0.9776759158658944,Operational: Task-Divergent Geometry,True,4,0.14814814814814814,Valence_human
-1.7031569582778068,-1.3311810763711898,-2.4856938363092524,-2.6593880796778366,-1.877715381427505,-1.8161639404453251,-2.5725409579935445,-2.5725409579935445,0.0,0.01185617215999879,0.02035145994318288,0.008495287783184091,0.9776759158658944,Operational: Task-Divergent Geometry,True,4,0.14814814814814814,Arousal_human
-1.618642085011107,-1.3882546209154358,-3.2473038187351086,-3.8698998048569946,-2.037109459899233,-2.214889533780929,-3.5586018117960516,-3.5586018117960516,0.0,0.011808480757654172,0.04004997857820636,0.028241497820552186,0.9611777237522403,Operational: Task-Divergent Geometry,True,5,0.18518518518518517,Valence_human
-1.6801103558649162,-1.4872648192920725,-12.687257151882712,-10.615521368963305,-2.3140203786440345,-2.45077211103036,-11.65138926042301,-11.65138926042301,0.0,-0.0451768864312494,-0.024926218012323975,0.02025066841892542,0.9611777237522403,Operational: Task-Divergent Geometry,True,5,0.18518518518518517,Arousal_human
-1.146119939591983,-1.2495889728603657,-2.6226766456420676,-3.614255613663163,-1.4822145556019142,-1.7273956181168675,-3.1184661296526155,-3.1184661296526155,0.0,0.035753892578437196,0.08436453998510773,0.04861064740667054,0.9620034282928946,Operational: Task-Divergent Geometry,True,6,0.2222222222222222,Valence_human
-1.2394769097586766,-1.4945586170020628,-14.035810972654424,-19.001557454324562,-2.3279343994220896,-2.0986754390186464,-16.518684213489493,-16.518684213489493,0.0,-0.004514992455181277,0.020688516512672894,0.02520350896785417,0.9620034282928946,Operational: Task-Divergent Geometry,True,6,0.2222222222222222,Arousal_human
-1.2663622594818698,-1.6808651793575877,-4.61101551246068,-5.75681334506165,-1.7929393895560644,-2.4129606847530654,-5.183914428761165,-5.183914428761165,0.0,0.06300329466050125,0.0859439809953616,0.02294068633486035,0.968672436719564,Operational: Task-Divergent Geometry,True,7,0.25925925925925924,Valence_human
-1.4812766257495342,-1.268842301520412,-5.016044529797259,-11.347662351107635,-2.0149683983704123,-1.9851867843423205,-8.181853440452446,-8.181853440452446,0.0,-0.014098170494882822,-0.005715220728681025,0.008382949766201797,0.968672436719564,Operational: Task-Divergent Geometry,True,7,0.25925925925925924,Arousal_human
-1.0197150009016478,-1.3610270605855108,-3.4943507390097155,-2.9045664528897,-1.584759082291594,-1.723583241370755,-3.1994585959497077,-3.1994585959497077,0.0,0.05036128803609319,0.08868261412875711,0.03832132609266392,0.9644785489910894,Operational: Task-Divergent Geometry,True,8,0.2962962962962963,Valence_human
-1.3851857002391577,-1.222091720571259,-3.1256947192323032,-3.7198331634319244,-2.068712517067435,-2.148630700978711,-3.422763941332114,-3.422763941332114,0.0,0.007369542565249243,0.016626037671995553,0.00925649510674631,0.9644785489910894,Operational: Task-Divergent Geometry,True,8,0.2962962962962963,Arousal_human
-0.8764709324771607,-1.2731421139384742,-4.020681321840235,-4.6438912071775835,-1.3372387321667452,-1.835106959558845,-4.332286264508909,-4.332286264508909,0.0,0.06140857068581118,0.10630474778129118,0.044896177095479994,0.9622923415403074,Operational: Task-Divergent Geometry,True,9,0.3333333333333333,Valence_human
-1.4435138921630455,-1.4065339209080592,-5.919190773632922,-4.317276116651462,-2.1292595480955256,-2.1676060875657366,-5.118233445142192,-5.118233445142192,0.0,-0.007171205097823652,-0.0011490934234998917,0.00602211167432376,0.9622923415403074,Operational: Task-Divergent Geometry,True,9,0.3333333333333333,Arousal_human
-1.1204414916948342,-1.3819919823626408,-60.26485697090474,-20.208309713880006,-2.5514824310188,-2.428315800698392,-40.23658334239237,-40.23658334239237,0.0,0.059821177825009286,0.12189932421210015,0.06207814638709086,0.9572372153448528,Operational: Task-Divergent Geometry,True,10,0.37037037037037035,Valence_human
-1.476961179311016,-1.4373196105012163,-38.07531559531038,-5.962929924491991,-3.725325934535241,-2.5182924435978524,-22.019122759901187,-22.019122759901187,0.0,-0.0022453548907710452,0.017179918425795138,0.019425273316566183,0.9572372153448528,Operational: Task-Divergent Geometry,True,10,0.37037037037037035,Arousal_human
-1.2002781071674269,-1.146422707304624,-28.196241118726995,-66.9251667673226,-3.234098179410676,-2.376140181616646,-47.56070394302479,-47.56070394302479,0.0,-9.035695101666796e-05,0.09173116484253552,0.09182152179355219,0.9535243283661957,Operational: Task-Divergent Geometry,True,11,0.4074074074074074,Valence_human
-1.8806621456869168,-1.8571528523078245,-30.97046042549537,-21.978756921671174,-4.637009667307761,-3.5241588884747914,-26.474608673583273,-26.474608673583273,0.0,-0.020448159607720617,0.010296410281640411,0.03074456988936103,0.9535243283661957,Operational: Task-Divergent Geometry,True,11,0.4074074074074074,Arousal_human
